type,name,text,ttl,comment,disabled,zone
txt,_amazonses.login.ixcloud.ch,"""y6WkKb716oQ0P67skcCkXzaOlnWKGgB5+vVGzUxxgas=""",3600,,False,ixcloud.ch
txt,orchestrator-test.ixcloud.ch,"""_dh14h5b119lsje1jno8121rxvizq5q3""",3600,,False,ixcloud.ch
txt,web.db4kids.ixofp.ch,"""m5ccbgnl9nlqttz2vc1hmgyq2jh8t7jl""",14400,,False,ixofp.ch
txt,ixshared.ch,"""MS=ms16088212""",3600,,False,ixshared.ch
txt,kpt-dev.ch,"""rgmphqgml0wk30kmvytd75pyl2w6sx9z""",28800,,False,kpt-dev.ch
txt,kpt-dev.ch,"""70py0l0bzfgbsxsvl8bwnj49n7f0jymd""",28800,,False,kpt-dev.ch
txt,_acme-challenge.wp-extern.kpt-tst.ch,"""8X9Zh9-aU8mgw4iGAq5GVuZFwusUCShjdwAaJichWcc""",28800,,False,kpt-tst.ch
txt,krankenversicherung-visana.ch,"""83951qbp1syqxs8gvwqhmlfy0rw1l3gv""",14400,,False,krankenversicherung-visana.ch
txt,krankenversicherung-visana.ch,"""v=spf1 -all""",14400,,False,krankenversicherung-visana.ch
txt,krankenversicherung-visana.ch,"""swisssign-check=ASWHfs_AotG3HAcw8-lXbGTrCeo""",14400,,False,krankenversicherung-visana.ch
txt,_dmarc.krankenversicherung-visana.ch,"""""v=DMARC1""",14400,,False,krankenversicherung-visana.ch
txt,my-visana.ch,"""c3wnvxcbsqpfz8k6kvgmd2m72pr75922""",14400,,False,my-visana.ch
txt,my-visana.ch,"""v=spf1 -all""",14400,,False,my-visana.ch
txt,my-visana.ch,"""swisssign-check=Ey9d6-lH6dZ7MnfzcYG3mOCUz7U""",14400,,False,my-visana.ch
txt,_dmarc.my-visana.ch,"""""v=DMARC1""",14400,,False,my-visana.ch
txt,mypoints.ch,"""swisssign-check=yuTvPqmjJEBIR6pX0MQXOLot5pE""",14400,,False,mypoints.ch
txt,myvisana.ch,"""have-i-been-pwned-verification=dweb_kzxtgwlqgrpa6ykpdvw3rnsu""",14400,,False,myvisana.ch
txt,myvisana.ch,"""h2yf2xcc1cmf6p5bh0kgyp2r7khxy1yx""",14400,,False,myvisana.ch
txt,myvisana.ch,"""v=spf1 ip4:217.192.234.114 ip4:46.140.160.213 ip4:185.178.62.5 ip4:185.178.62.6 ip4:185.178.62.16 ip4:185.178.62.17 -all""",14400,,False,myvisana.ch
txt,myvisana.ch,"""swisssign-check=2omVusH0RawV4L2ojPoq4jhc6AE""",14400,,False,myvisana.ch
txt,_dmarc.myvisana.ch,"""""v=DMARC1""",14400,,False,myvisana.ch
txt,myvisana.ch._domainkey.myvisana.ch,"""""v=DKIM1""",14400,,False,myvisana.ch
txt,myvisanach22._domainkey.myvisana.ch,"""""v=DKIM1""",14400,,False,myvisana.ch
txt,s1-ix-mx._domainkey.myvisana.ch,"""""v=DKIM1""",14400,,False,myvisana.ch
txt,pbihag.ch,"""v=spf1 mx ip4:195.65.190.41 ip4:195.65.190.46 ip4:195.65.190.2 ip4:185.178.61.56 ip4:185.178.61.57 ip4:185.178.61.58 ip4:185.178.61.59 ip4:185.178.61.229 ip4:195.65.190.38 include:spf.protection.outlook.com -all""",14400,,False,pbihag.ch
txt,pbihag.ch,"""f38lnhr5kr48muqe2f3ef75405""",14400,,False,pbihag.ch
txt,pbihag.ch,"""QuoVadis=990c16f5-6aba-4a63-82a8-7cdadb74e9fe""",14400,,False,pbihag.ch
txt,pbihag.ch,"""EB7CB725-C3F2-4F30-B8ED-C7679BDD3F54""",14400,,False,pbihag.ch
txt,pbihag.ch,"""MS=ms37044480""",14400,,False,pbihag.ch
